qid,qtext
960,Is interest income on frozen deposits taxable?
51,Where can I find more information on taxsheltered annuities or TSAs?
642,What is a qualified HSA Funding distribution? 
1425,Are there exceptions to Rental Real Estate Activities?
1689,How do I find out about my social security benefits online?
619,I was granted a stock appreciation right by my employer but I have not exercised it yet Should I include it as income? 
761,If I decided to receive outplacement services and a lower severance pay how do I recognize this income?
1027,When do I have to file form 8938 Specified Foreign Financial Assets?
1831,Can my employer withhold additional income from my paycheck?
416,Do you have any examples of how to figure out what my taxable benefits are?
1258,Is income from my money market fund subject to tax?
159,Are there exceptions?
1789,What is the benefit of receiving a dividend from a qualified foreign corporation as opposed to a nonqualified foreign corporation?
121,Is there an age requirement to be able to rollover from a pretax account to a Roth account with a plan? 
1327,If I depreciate property what happens when I sell the property later?
545,How do shareholders in an S corporation know what amount of income and deductions are his share to report on their own tax return?
1611,Can I be taxed on my employer's contributions to my nonqualified retirement plan?
766,If I am self employed how do I calculate my social security and Medicare tax liability?
288,What can I do if I expect my income to surpass the threshold?
133,My employer only offers one rollover option is there a way I can diversify this?
1422,What kind of records should I keep for my rental property?
792,How do I recognize income from commuter benefit programs past what is not taxable?
386,Can I use Form 1040EZ if I have taxable benefits?
522,Are proceeds from an endowment contract policy taxable?
463,Where is the interest portion of canceled debt on my 1099C?
882,Do I need to report uncollected railroad retirement tax?
213,How do I determine which method I have to use to determine the tax free part of my annuity payments?
1631,How does a nonnegotiable secured note received as payment affet my taxes?
942,Should amounts received from money market funds be reported as dividends or interest? 
1607,Can I deduct estate taxes for an annuity I received as part of an estate?
1130,I received a dividend from a life insurance policy is that taxable?
233,When do I have to complete the rollover of a rollover eligible distribution?
212,How do I figure out the tax free part of each annuity payment under the simplified method?
846,Is this service charge a tip?
1505,Do education saving bonds have an income limits? 
107,Will taxes be withheld if I elect to directly rollover a distribution into another qualified retirement plan?
1329,What do I do if I have a loss from rental property?
1783,Is there a tool I can use to see if my social security is taxable?
664,What are qualified retirement planning services? 
503,How much income should I report on gifts received for hosting a sales party?
92,Is the net unrealized appreciation of an employer security taxable?
633,What are the tax and nontax benefits of HSAs? 
402,What worksheet do I use if I took an exclusion for income earned in American Samoa or Puerto Rico by bona fide residents?
1935,Is debt forgiveness considered income? 
1656,Can I deduct any of disability payments I received that were incldued in my last year's taxable income?
1638,How should I file my taxes if my form W2 is unavailable?
497,Do I need to include canceled debt from a bankruptcy in gross income?
786,Can I exceed the 50000 group insurance coverage if I have multiple employers?
1330,What happens if my rental expenses are greater than my rental income?
573,If I left my job prior to 12312016 and do not expect to return to it prior to 12312016 is my employer required to provide a W2? 
620,When do I include my stock appreciation right as income? 
1178,does that trigger capital gains?
1878,What is foreign source income?
281,Can I access my social security benefits online?
227,What is the 10year tax option for a lumpsum distribution?
1577,Do I have to include employer loans on my taxes? 
1639,Does the source of my disability benefits premiums matter?
97,When is a lumpsum distribution given capital gain treatment?
638,I used my distribution for a nonqualified medical expenses Is this included in income? 
1808,Are security deposits received included as income?
270,Is there a process in place to waive this penalty?
823,What are the tax rules for payments received through the Federal Employees Compensation Act FECA?
718,How can I claim exclusion for amounts received under a longterm care insurance contract?
1241,What tax rate is applied to my dividend income?
595,Is a differential wage payment subject to withholding? 
48,What should I do if I have made excess elective deferrals one year?
1617,What are the tax consequences of receiving workers compensation?
1587,What can I depreciate on my rental property?
1767,How are rental expenses and personal expenses allocated for rental income?
727,What is the limit on elective referrals? 
994,Under what circumstances can an OID be treated as zero? 
1217,Where are fractional shares of stock reported?
78,How do I figure out the taxable amount of a nonperiodic payment?
359,Are any items of income excluded from the comparison?
474,Will I owe tax if my property is foreclosed on?
1646,Is there a time limit to recognizing a gain or loss for an exchange in annuity contracts?
1328,Will depreciation make my gain higher or loss lower when I sell it?
1514,What tax reporting requirements apply to wage differential payments?
1685,Do I pay the tax out-of-pocket when I receive an eligible rollover distribution?
303,What is Worksheet 111 used for?
550,When do I have to recognize the income from a recovery?
1536,How do I claim Jointly purchased US Bond on my tax return?
1077,Are there limitations in my ability to trade US Bonds?
1440,Can I deduct losses from casualty andor theft from my rental property?
46,What is the limit on total employer contributions to qualified defined contribution plans?
243,What can I do with the funds held in my pension or profit sharing plan?
597,I am a government employee Generally what is the difference in tax treatment between payments received by US government civilian employees for working abroad and costofliving allowances? 
486,What are the exceptions to exclude canceled debt income?
1310,What expenses can I deduct if part of my home was rented out?
1876,Are accelerated death benefits from a life insurance plan considered taxable?
388,Do I need to enter anything if Im married filing seperately and I lived apart from my spouse for all of 2016?
211,How can I determine the total amount of annuity payments that I can exclude from my taxable income?
1209,When is a dividend payment taxfree?
1181,Which box on the 1099DIV are ordinary dividends in?
374,Is there a form that can help me to determine if my social security and other benefits are taxable?
567,I did not receive a Form W2 from my employer Do I still need to report income? 
1527,Are there limitations to claiming benefit payments on my taxes?
1388,Would my cousin be included as family for Day of Personal use proposes?
1426,What is the threshold for special allowance for active participation?
1641,What kind of programs are available to educate my employees on their reporting obligations?
1315,Can I deduct expenses if I rent out my house?
953,Are prepaid insurance premiums interest?
1910,Can I deduct amounts found on form 1098? 
91,Can I recover the cost of any lump sum distribution of an employer security?
1779,Where are the dividends from restricted stock reported?
307,How do I input both my income and spouses combined income on Worksheet 111?
1500,Do active duty reservist have to pay full tax on their retirement plan payout?
343,What is shown on box 5 of SSA1099?
45,Where the limits on contributions to my SIMPLE plan?
940,Are individual retirement arrangements IRAs taxable?
94,If I sell an employer security distributed as part of a lump sum will I be taxed?
1887,How much rental expense deduction can be deducted annually? 
1662,What is IRS's limit on the elective deferral contribution?
946,Are early withdrawal penalties from deferred interest accounts subject to information reporting?
1530,Do I have to claim insurance benefits as income?
870,Is there a program available to educate myself on
544,Do S Corporations need to file a return?
1754,What qualifies as qualified bicycle commuting?
1386,What forms are used for Rental Property?
448,When should I include bartering as income?
59,What is are my total cost in my pension or annuity plan?
1573,Are rollovers taxable?
772,Is my health plan or accident coverage included in my income? 
1849,How much of the money I received from my annuity taxable?
659,What are permanent benefits? 
453,How is bartering defined?
77,What are nonperiodic payments?
1877,Are the cash advances from my life insurance plan's accelerated death benefits taxable?
674,What is a commuter highway vehicle? 
822,What are examples of nontaxable compensation received for sickness or injury?
1879,Is foreign source income taxable?
1673,What's the definition of full retirement age?
1661,What is the maximum elective deferral contribution I can make?
1417,Can I deduct a capital improvement that my tenant made to the rental property?
401,What worksheet do I use if I took an exclusion for foreign earned income or housing?
1681,What are the tax consequences of receiving a hardship distribution only to be followed by another event such as a separation from my employer?
1788,How does a foreign corporation become qualified?
923,What are the tax breaks and deductions available? 
1881,Is there a situation in which I cannot deduct my rental expenses?
1650,What should I think about before taking a loan from my retirement plan?
1090,What taxes is interest from US Treasury bills notes and bonds subject to?
1880,Is there any tax benefit for foreign source income?
317,How do I report my benefits using Form 1040?  
1372,Can I deduct my travel to and from my rental property we I go collect rent?
287,What is the total income threshold for my diability benefits to become taxable?
1854,Is a nondividend distribution exempt from taxation?
1368,I paid a couple of years of insurance premiums at one time can I expense the whole amount?
1517,Do I have to claim posted dated rent on my taxes? 
203,When do I have to recognize a gain or loss for an exchange in annuity contracts?
449,How should I value property received in a bartering transaction?
1348,What type of expenses can I deduct from my rental property?
173,How can I tax the estate tax deduction?
747,How do I recognize income received in advance of my services? 
745,If I babysit for family members but receive compensation do I have to recognize the income?
1508,Are there different methods to find annuity payments deductibility?
1114,Which form do I use to report interest income?
1571,"If I depreciate my property now, will I be able to sell it later."
1321,What is a home?
215,How do I determine if my annuity has guaranteed payments? 
103,What is the best way to roll over the taxable portion of my income to a traditional IRA so its not taxed today and the basis to a Roth IRA so it is not tax when distributed?
285,What kind of deduction can I take from repaying disability benefits?
722,What are other payments for sick or injury and what is their tax treatment? 
1840,When is the latest I can receive social security payments?
422,Are legal expenses deductible?
1304,Are advertising expenses deductible?
1665,Can you differentiate between a security deposit and advanced rent?
1657,What is the monetary value of services performed in an exchange of services?
33,Can I set up a qualified retirement plan?
1615,When do I have to start making minimum distributions?
76,Where can I find more information on the General Rule?
804,Are dividends on restricted stock different from dividends on unrestricted stock?
1295,What can be deducted from rental income?
484,How long can I claim a refund on repayment of a canceled debt?
570,I performed services other than as an independent contractor My employer did not withholding social security and Medicare taxes from my pay What should I do? 
1502,Can you deduct legal fees?
1079,What is a 1099INT form and when do I receive it?
1215,How do I calculate my basis in stock when I receive a distribution?
1383,What is a dwelling unit for rental property purposes?
1663,How is a security deposit different from advanced rent?
496,What is the treatment on  debt reduction of purchased property?
1186,What is the holding period for preferred stock?
563,I received a bonus from my employer a year after I performed the work When is it taxable?
737,What is the limit of my foreign source income I can exclude?
282,Are supplemental security income payments part of my social security benefits?
1649,What are the consequences of taking a loan from my retirement plan?
1279,What payments are included in rental income?
1742,Are loans from an owneremployee owned pension plan taxable?
1021,What amounts should be reported on Box 4 of Form 1099INT? 
1590,Can I claim all my mortgage payments on my taxes?
885,If I reported all of my tips to my employer are additional tips not shown on my W2 includible as income?
1376,What rental expense can I put on a Schedule E Form?
279,Are railroad retirement benefits social security?
278,What is included under social security benefits?
1760,What is a minimum distribution?
1817,Which types of distributions can I roll over?
1436,What is the maximum amount of section 179 Deduction ?
1305,Is liability insurnace deductible?
632,Do my contributions to HSA grow taxfree?
816,Are military and government disability pensions taxable?
601,I received a secured note as payment for my services from my employer What is the tax treatment? 
381,Do you have an example where the taxpayer repaid some of their benefits?
220,How do I figure out the taxable amount of nonperiodic distributions?
1933,What are the limits on deductibility of improvements made by tenants? 
1184,When determining the amount of days I have held stock for do I count the disposition date?
275,How would beneficiaries of a pension or annuity report the income?
1863,Do I need to report a holiday gift received from my job as income?
410,Is tax withheld on social security benefits?
1185,What is the holding period for stock?
532,Is there any special rules for excluding income of surviving members of firefighters killed in the line of duty?
559,What forms of compensation for personal services are included in gross income? 
719,What are qualified longterm care services?
219,What happens to contributions in excess I make to my retirement fund?
378,What happens to benefits I repaid during the year?
415,Where can I find more information on making a request to withhold federal income tax on the social security benefits I receive?
773,When do I have to recognize contributions my employer made for coverage for long term care services by my employer as income? 
475,What kind of gain will I report on disposal of property with nonrecourse debt?
738,What is considered as part of taxable income?
1858,"If I have a non-qualified dividend, does that mean it's tax free?"
1782,Is there a quick way to determine if my social security benefits are taxable?
1774,Do investment expenses paid to my broker impact my basis in my investments?
1545,What are the limitations to early withdrawal of qualified retirement plans?
1737,Are there restrictions on trading US bonds?
245,What are the benefits of an annuity?
1275,Am I an accrual basis taxpayer?
721,I received workers compensation How is the exemption applied? 
1575,What fixed assets costs can be capitalized?
1818,Is my retirement plan allowed to accept rollover contributions?
1421,What are the passive activity limits for rental property?
1784,What is a capital asset?
438,Are there any ways to reduce my current tax?
1280,What if I receive a loan for rent?
1786,What are the various capital gain tax rates?
1511,When is rental property depreciable? 
1614,How am I taxed on payments I received ahead of performing services?
1791,Is the original issue discount on my bond taxable?
1216,What goes on form 8949?
1660,How are US treasury bills notes and bonds taxed?
1713,Are my benefits that I repaid taxable? 
688,I received a stock option When is it taxable?
1889,What are the restrictions for using Form 1040EZ when claiming taxable benefits? 
931,Should a corrected Form 1099INT be requested when the initial form has the incorrect reportable interest amount? 
502,If I received gratuities for hosting a sales party do I need to include it in income?
1632,How does a childcare provider recognize income?
783,What is grouptermed insurance?
912,How do I report allocated tips on my tax return?
204,How do I report my pension or annuity on my tax forms?
1345,Is the special allowance different depending on your filing status?
458,Where should I report canceled farm debt?
1698,Should my W2 include any noncash tips?
1183,What are the requirements to qualify for the dividend maximum rate?
1320,What is a place that I rent some of the time classified as?
672,I received gross income reimbursement from my employer for my bicycle commuting expenses Is this taxable? 
1906,Does my annuity contract pay out guaranteed payments? 
1664,How does a security deposit differ from advanced rent?
459,How is a debt defined?
1736,Is there any reason why I cannot trade US Bonds?
1325,Can I depreciate personal property?
590,I received a tangible personal property other than cash gift certificate or equivalent item as an employee achievement award Is it excludible from income? How much can I exclude?
1291,What will my basis be in improvements left by tenants?
730,Are health flexible spending arrangements FSAs taxable?
1763,How are self employed individuals taxed?
1375,I received a Form 1098 from my bank for my rental property Is this amount deductible?
644,How do I maintain eligibility during the tax year? 
490,What are the rules to qualify a refinanced loan as student forgiveness?
1432,Do I have to pay Alternative Minimum tax on my rental property?
1234,Are dividends taxable?
1251,What tax rate applies to qualified dividends?
543,What return does an S Corporation file?
677,My employer made contributions to my nonqualified retirement plan? Are they taxable?
686,Who monitors whether the total deferrals do not exceed overall limit?
446,Is there a schedule for the minimum retirement age based on my birth year?
1857,"If I have a non-qualified dividend, does that impose more taxes?"
1781,Is my social security taxable?
845,Can my employer keep track of my tips for me?
631,What is a Health savings accounts HSA? 
925,When is backup withholding required by the IRS? 
1277,What if I receive rental payments in advance?
1913,Do I pay interest on government investments? 
1588,Are all mortgage expenses deductible? 
1810,"As a landlord, are security deposits received considered income?"
1772,"If I have a rental property, what different kinds of  expenses add to my basis?"
1206,What is a nondividend distribution?
1768,How to calculate the share of rental and personal expense related to rental income?
1610,What are the tax consequences of employer's contributions to my nonqualified retirement plan?
1287,How do I account for improvements made by a tenant?
1669,What are the tax and nontax advantages of having a HSA?
1032,What taxes are government bonds subject to?
1862,Is a holiday gift from an employer considered as income?
1085,What tax-free benefits lower my qualified educational expenses?
1586,Can I claims my rental property?
146,How do I figure out any additional tax I must pay for withdrawing from my qualified retirement plan before the age of retirement?
471,What are the rules for the debt relief exclusion?
1355,How should these expenses that cannot be deduct be accounted for?
313,I made a repayment for a benefit this year can I apply it toward a different year?
964,What is foregone interest? 
75,If I chose to use the General Rule can I later switch to the Simplified Rule?
999,What are Stripped Coupon Bonds? 
342,Do repayments payments from previous years for social security benefits transfer over to this year?
1298,What is the difference between a repair and an improvement?
1811,Where do I report rental income on my tax return?
1684,What type of belowmarket loans are free from IRS rules?
1670,What's the advantage of a HSA from a tax perspective?
1839,When is the earliest I can receive social security payments?
1419,How do I divide personal and rental expense in a rental property I use as my home?
162,Whats a the required beginning date of a qualified retirement plan?
1061,For what type of loans do the rules for belowmarket loans apply to?
469,How much gain is realized for recourse debt relief on sale of property?
1430,What is considered Qualifying Property?
1082,What is the Education Savings Bonds Program?
1344,Can I deduct passive rental losses from ordinary income?
813,Does it mater who paid the premiums on my disability benefits?
1026,As a US citizen do I have to report foreign source interest income? 
1717,What is the treatment of employer or employee contributions in excess of the limit for an elective referral?
421,How do I claim the deduction or credit?
702,I work for a foreign employer What special rules apply? 
1580,How do I claim my employer notes payments? 
714,I receive military andor government disability pensions Are they taxable? 
1528,What are the regulations for benefit payments?
1671,Can you differentiate between a repair and an improvement?
435,Is my deduction sumject to any limites?
26,How are my railroad retirement benefits treated for income tax purposes?
1531,Are insurance benefits taxable?
1282,Do I have to include security deposits in income?
1761,Who enforces the overall limit on deferrals?
1189,Which countries have an income tax treaty with the US?
1424,I provide additional services with the property How do I claim the services?
1012,When does a taxpayer constructively receive income? 
1404,Should I use Schedule A or Schedule E for my vacation home rental expenses?
1336,How much of my losses can I deduct?
167,How will I know when I should start making minimum distributions from my IRA?
1596,Can trusts and/or employer plans  with multiple benefits be broken out for taxes purposes?
1408,What is my MAGI Threshold for Net Investment Income if filing a joint return?
1081,How can I distinguish discrepancies on my taxable interest from what is not taxable in a 1099INT form?
726,What is gross income? 
922,Are there any earned interest income deductions available?
93,What is net unrealized appreciation?
72,What is a singlelife annuity v a multiplelives annuity?
1550,What are the basic regulations for Section 179 deductions?
1652,Is all of my cancelled debt considered taxable income?
413,What percentage is allowed to be withheld from my social security benefits for federal income tax?
254,What constitutes as early distribution for a retirement plan?
64,How are the payments I receive from my pension or annuity plan taxed?
1725,Does excess income lead to a reduction in monthly benefits?
455,If I had a debt canceled as a bequest do I need to include in my income?
895,How did I report uncollected taxes?
1543,Do nonperiodic distributions have any limitations when filing taxes?
679,What is an elective deferral? 
551,Where can I find more information on recoveries?
743,What do I do if I did not receive a W2 from my employer?
1323,How do I depreciate rental property?
700,I am a member of clergy What special rules apply regarding housing allowance and home ownership? 
1126,What is the maximum tax rate for qualified dividend income?
914,What is the 2017 filing deadline for Reporting Foreign Bank and Financial Accounts Changed? 
261,Who is a qualifies public safety employee?
115,I've inherited an IRA where can I find out more information as what to do?
844,What if my employer electronically keeps track of my tips?
1290,Will I have a gain from improvements left by tenants?
244,Hat are the benefits of a lumpsum distribution?
1898,Can I take advantage of rollover options outside of my current employer? 
958,Is usurious interest taxable?
1651,What are the tax consequences of debt cancellation?
1866,Is my disability income taxable?
117,Ive recently had a change in family status marriage divorce birth of a child will the beneficiary of my qualified retirement plan automatically change?
1613,How do I report payments made prior to performing actual services?
43,salary reduction simplified employee pension SARSEP and SIMPLE plans and 403b tax-sheltered annuities treated for tax purposes?
306,How do I note my filing status on Worksheet 111?
80,What is the annuity starting date and how does it affect whether or not I should include a nonperiodic payment in gross income?
899,Are tips allocated to me shown on my W2?
680,Does my retirement plan include elective deferrals? 
383,What do I have to do if I choose to have from federal income tax withheld from my social security benefits?
1519,Do I have to claim advanced rent payments on my taxes?
434,What amount in box 5 can I take an itemized deduction for?
1576,Which items need to be capitalized on my taxes?
102,Does my income affect how much of a distribution from a qualified retirement plan I can rollover?
1706,What can I use a health savings accounts for?
614,Do I have to pay additional Medicare Tax on wages? 
1439,If I do not have tenants at the moment can I still deduct rental property expenses?
1389,I rent my vacation home to my inlaws Can I deduct my expenses?
1403,What expenses can be capitalized?
561,I performed services and decided that the payment for them should be made to another person To whom is it taxable?
1363,Are security deposits considered rent?
480,Should stockholders report income on debts they forgive a corporation?
1406,What different ways can I depreciate rental property?
814,When are my disability benefits taxable?
807,When do I have to recognize income as a member of a religious order that has taken a bow of poverty?
1932,Are improvements made by the tenant deductible? 
1616,When am I required to start making minimum distributions?
1682,How does receiving a hardship distribution followed by another event such as a separation from my employer affect my taxes?
504,Can I deduct all of my out of pocket expenses?
414,How do I request to have amounts withheld on my social security benefits?
316,Can I use form 1040EZ to report my benefits?
1031,Is interest income subject to income tax withholding? 
1413,What is rental income?
720,What is the limitation on exclusion for LongTerm Care Insurance Contracts? 
1364,I rented my home for 10 days can I deduct my rental expenses? 
866,When do I have to report my tips by if my employment has terminated?
1624,What are the tax consequences of receiving military and government disability pensions?
1542,what are the rules and regulations for claiming  nonperiodic distributions?
175,When am I exempt from the 20 withholding on rollover distributions?
1069,For bonds with coowners who needs to report the interest income?
694,I received stock for my services Is it taxable?
16,How am I taxed on my Section 457 deferred compensation plan?
1828,What are examples of bearer certificates of deposits?
1907,How long is the holding period for preferred stock? 
1057,When is income from a frozen deposit taxable?
140,As I approach retirement what are some considerations for distributions if I have defined benefit plan?
419,Is there a maximum amount I had to repay in order to take a credit instead of a deduction?
74,When must I use the General Rule for figuring out the taxfree portion of my annuity payments?
