ParaId,Chapter,Title,SectionTitle,SubsectionTitle,Source,FeatureType,ParaText
33,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,EXPLANATION,"For 2016, social security tax is withheld from an employee's wages remains unchanged at the rate of 6.2% up to the 2016 social security wage limit of $118,500. The Medicare withholding rate remains unchanged at 1.45% for both the employer and employee. In addition, higher-paid employees are subject to a 0.9% Additional Medicare Tax on wages (including tips) received in excess of $200,000 ($125,000 for a married individual filing a separate return). Fringe benefits and other compensation not paid in cash are also subject to this 0.9% additional tax. For married couples filing jointly, the additional 0.9% tax applies to the couple's combined wages in excess of $250,000. There is no corresponding employer portion of the Additional Medicare Tax. Employers are required to withhold the 0.9% Additional Medicare Tax on both cash and noncash wages paid to an employee in excess of $200,000 regardless of the tax filing status (married or single) indicated on the Form W-4 the employee submitted to the employer and without regard to any other wages received from another employer. So, an employee may see this additional tax being withheld even though he or she may not even be liable for it because, for example, the employee's wages or other compensation together with that of his or her spouse (when filing a joint return) does not exceed the $250,000 liability threshold. In this case, however, any Additional Medicare Tax withheld can be credited against the total tax liability—including income taxes—shown on the couple's income tax return (Form 1040). Self-employment income. The social security tax rate applied to net earnings from self-employment is 12.4% up to the 2016 social security wage limit of $118,500. The Medicare tax rate applied to net earnings from self-employment is 2.9%. In addition, self-employment income is also subject to the 0.9% Additional Medicare Tax if net earnings, whether by itself or in combination with wages received, exceed $200,000 for a single taxpayer ($250,000 for married couples filing jointly; $125,000 for a married individual filing a separate return). For more information about self-employment tax, see chapter 39, Self-employment income: How to file Schedule C."
34,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,TaxCode,TAXCODE,"Stock appreciation rights. Do not include a stock appreciation right granted by your employer in income until you exercise (use) the right. When you use the right, you are generally entitled to a cash payment equal to the fair market value of the corporation's stock on the date of use minus the fair market value on the date the right was granted. You include the cash payment in your income in the year you use the right."
35,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,EXPLANATION,"Stock appreciation rights (SARs) are rights awarded to an employee by a corporation that enable the employee to benefit over a certain period of time from the appreciation in value of the employer's stock without the employee actually owning the stock. Example In January 2016, you were given 10 SARs when your company's stock was valued at $25 per share. You may exercise your SARs at any time during a 24-month period. In the first 6 months after the SARs are awarded, the company's stock rises to $50 per share. However, you do not exercise your SARs because you expect the stock to continue to appreciate in value. Even though you have an unrealized gain of $250 [($50 less $25) x 10 SARs], you do not include it in gross income because the SARs have not been exercised. Eighteen months after the SARs are issued, the company stock is selling for $85 per share. You exercise your SARs, and the company pays you $600 [($85 less $25) x 10 SARs]. The $600 gain must now be included in your gross income as compensation."
36,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Miscellaneous Compensation,EY,TAXALERT,"SARs that vest after 2004 must meet certain requirements in order to defer taxation until exercise: 1. The value of the stock used in the SAR can't be less than the value on the date the SAR was granted, and 2. The SAR's spread can't be further deferred. Similar rules apply to the grant of non-statutory options, discussed later."
37,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Fringe Benefits,TaxCode,TAXCODE,"Fringe benefits received in connection with the performance of your services are included in your income as compensation unless you pay fair market value for them or they are specifically excluded by law. Abstaining from the performance of services (for example, under a covenant not to compete) is treated as the performance of services for purposes of these rules. Accounting period. You must use the same accounting period your employer uses to report your taxable noncash fringe benefits. Your employer has the option to report taxable noncash fringe benefits by using either of the following rules. §  The general rule: benefits are reported for a full calendar year (January 1–December 31). §  The special accounting period rule: benefits provided during the last 2 months of the calendar year (or any shorter period) are treated as paid during the following calendar year. For example, each year your employer reports the value of benefits provided during the last 2 months of the prior year and the first 10 months of the current year. Your employer does not have to use the same accounting period for each fringe benefit, but must use the same period for all employees who receive a particular benefit. You must use the same accounting period that you use to report the benefit to claim an employee business deduction (for use of a car, for example). Form W-2. Your employer must include all taxable fringe benefits in box 1 of Form W-2 as wages, tips, and other compensation and, if applicable, in boxes 3 and 5 as social security and Medicare wages. Although not required, your employer may include the total value of fringe benefits in box 14 (or on a separate statement). However, if your employer provided you with a vehicle and included 100% of its annual lease value in your income, the employer must separately report this value to you in box 14 (or on a separate statement)."
38,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Fringe Benefits,EY,TAXALERT,"Your employer is required to provide in Form W-2, box 12, code DD, the “aggregate cost of employer-sponsored health coverage.” This reporting is for information purposes only."
39,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Fringe Benefits,TaxCode,TAXCODE,"Accident or Health Plan In most cases, the value of accident or health plan coverage provided to you by your employer is not included in your income. Benefits you receive from the plan may be taxable, as explained later under Sickness and Injury Benefits. For information on the items covered in this section, other than Long-term care coverage, see Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans."
40,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Fringe Benefits,EY,EXPLANATION,"This exclusion applies to coverage provided to the taxpayer and the taxpayer's spouse, dependents, and children under age 27 as of the calendar year-end."
41,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Fringe Benefits,TaxCode,TAXCODE,"Long-term care coverage. Contributions by your employer to provide coverage for long-term care services generally are not included in your income. However, contributions made through a flexible spending or similar arrangement (such as a cafeteria plan) must be included in your income. This amount will be reported as wages in box  1 of your Form W-2. Contributions you make to the plan are discussed in Publication 502, Medical and Dental Expenses. Archer MSA contributions. Contributions by your employer to your Archer MSA generally are not included in your income. Their total will be reported in box 12 of Form W-2 with code R. You must report this amount on Form 8853, Archer MSAs and Long-Term Care Insurance Contracts. File the form with your return. Health flexible spending arrangement (health FSA). If your employer provides a health FSA that qualifies as an accident or health plan, the amount of your salary reduction, and reimbursements of your medical care expenses, in most cases, are not included in your income. Note. Health FSAs are subject to a $2,500 limit on salary reduction contributions for plan years beginning after 2012. The $2,500 limit is subject to an inflation adjustment for plan years beginning after 2013. For more information, see Notice 2012-40, 2012-26 I.R.B. 1046, available at www.irs.gov/irb/2012-26IRB/ar09.html. For tax year 2016, the dollar limitation under Section 125(i) on voluntary employee salary reductions for contributions to health flexible spending arrangements is $2,550. Health reimbursement arrangement (HRA). If your employer provides an HRA that qualifies as an accident or health plan, coverage and reimbursements of your medical care expenses generally are not included in your income. Health savings accounts (HSA). If you are an eligible individual, you and any other person, including your employer or a family member, can make contributions to your HSA. Contributions, other than employer contributions, are deductible on your return whether or not you itemize deductions. Contributions made by your employer are not included in your income. Distributions from your HSA that are used to pay qualified medical expenses are not included in your income. Distributions not used for qualified medical expenses are included in your income. See Publication 969 for the requirements of an HSA."
42,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Fringe Benefits,EY,EXPLANATION,"The contributions you make to your HSA grow tax-free. The funds in the HSA account are used to pay qualified medical expenses. Only eligible individuals can qualify for an HSA. Some of the requirements for eligibility are that you must be covered under a high deductible health plan, you cannot be enrolled in Medicare, and you cannot be claimed as a dependent on someone else's tax return. HSAs offer both tax and non-tax benefits: ·    Your current year taxable income is reduced when you make pretax contributions through payroll deductions to your HSA. ·    If you or your family members make contributions to your HSA, you can deduct them on your federal income tax return, even if you do not itemize your deductions. ·    If your employer contributes to your HSA, the funds contributed are not taxable income to you. ·    Contributions do not have to be distributed from your HSA. The funds remain in your account until used for the payment of your medical expenses. ·    The earnings on your account grow tax-free. ·    Distributions from your HSA are tax-free if used to pay qualified medical expenses."
43,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Fringe Benefits,EY,TAXALERT,"In 2016, the maximum contribution that can be contributed to an HSA is $3,350 for self-only coverage and $6,750 for family coverage. In addition to the maximum contribution amount, an annual catch-up contribution of $1,000 may be made by or on behalf of individuals age 55 and older, who are not enrolled in Medicare. Qualified medical expenses no longer include over-the-counter medications unless they are prescribed. Doctor-prescribed drugs and insulin are qualified medical expenses. Distributions not used for qualified medical expenses that are included in your income are also subject to an additional 20% tax with certain exceptions."
44,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Fringe Benefits,EY,TAXALERT,"File Form 8889, Health Savings Accounts, with your income tax return to report contributions to the HSA, even if only your employer made the contributions. In addition to contributions, the form is used to report distributions from your HSA, the calculation of your HSA deduction, and the calculation of any income that is taxable to you if you are no longer an eligible individual."
45,Chapter 5,"Wages, salaries, and other earnings",Employee Compensation,Fringe Benefits,TaxCode,TAXCODE,"Contributions by a partnership to a bona fide partner's HSA are not contributions by an employer. The contributions are treated as a distribution of money and are not included in the partner's gross income. Contributions by a partnership to a partner's HSA for services rendered are treated as guaranteed payments that are includible in the partner's gross income. In both situations, the partner can deduct the contribution made to the partner's HSA. Contributions by an S corporation to a 2% shareholder-employee's HSA for services rendered are treated as guaranteed payments and are includible in the shareholder-employee's gross income (usually as compensation income reported on Form W-2). The shareholder-employee can deduct the contribution made to the shareholder-employee's HSA. Qualified HSA funding distribution. You can make a one-time distribution from your individual retirement account (IRA) to an HSA and you generally will not include any of the distribution in your income. Failure to maintain eligibility. As described in Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans, if your HSA received qualified HSA distributions from a health FSA or HRA (discussed earlier) or a qualified HSA funding distribution, you must be an eligible individual for HSA purposes for the period beginning with the month in which the qualified distribution was made and ending on the last day of the 12th month following that month. If you fail to be an eligible individual during this period, other than because of death or disability, you must include the distribution in your income for the tax year in which you become ineligible. This income is also subject to an additional 10% tax."
